epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,2331.46,1.11025,0.60579,0.00182,0.95399,0.91814,0.97967,0.73017,0.9407,0.63371,0.00195,0.00161996,0.00161996,0.00161996
110,2363.84,1.20931,0.6543,0.002,0.93982,0.92092,0.98092,0.73285,0.9344,0.6228,0.00194,0.00161909,0.00161909,0.00161909
111,2402.75,1.19717,0.60422,0.00184,0.91281,0.93804,0.97966,0.72788,0.96422,0.64452,0.00205,0.00161822,0.00161822,0.00161822
112,2511.56,1.18187,0.63148,0.00205,0.9698,0.86424,0.9783,0.71118,1.02476,0.6628,0.0022,0.00161733,0.00161733,0.00161733
113,2635.45,1.13303,0.58463,0.00202,0.97152,0.89418,0.98131,0.70463,1.0789,0.61779,0.00242,0.00161645,0.00161645,0.00161645
114,2756.81,1.25969,0.69675,0.00229,0.95925,0.91201,0.98195,0.71867,1.0297,0.60286,0.00229,0.00161555,0.00161555,0.00161555
115,2864.8,1.12982,0.56164,0.0019,0.92759,0.93216,0.98283,0.74845,0.9254,0.592,0.00202,0.00161464,0.00161464,0.00161464
116,2948.4,1.10474,0.61257,0.00192,0.93398,0.91531,0.98092,0.73693,0.94026,0.5829,0.00206,0.00161373,0.00161373,0.00161373
117,3032.37,1.066,0.60126,0.00184,0.94225,0.91149,0.97895,0.74751,0.91216,0.59064,0.00198,0.00161281,0.00161281,0.00161281
118,3149.48,1.03904,0.62133,0.00187,0.92432,0.93558,0.98224,0.7399,0.92881,0.57496,0.00199,0.00161188,0.00161188,0.00161188
119,3189.02,1.24206,0.65052,0.00195,0.94304,0.96089,0.98685,0.71122,1.06403,0.5597,0.00235,0.00161095,0.00161095,0.00161095
120,3265.56,1.02848,0.56233,0.00211,0.96568,0.94144,0.98791,0.72061,1.06201,0.55279,0.00236,0.00161,0.00161,0.00161
121,3328.87,1.13727,0.60714,0.00198,0.94908,0.96058,0.98986,0.7109,1.0939,0.5693,0.00248,0.00160905,0.00160905,0.00160905
122,3359.6,1.03098,0.53235,0.00181,0.9298,0.97124,0.98858,0.72535,1.06311,0.55909,0.00237,0.0016081,0.0016081,0.0016081
123,3437.21,1.06601,0.57305,0.00183,0.96725,0.95665,0.98995,0.75309,0.92305,0.50936,0.00197,0.00160713,0.00160713,0.00160713
